"name","first_release","versions","archived","index"
"ratetables","1997-10-08 17:56:00",1,TRUE,1
"leaps","1997-12-10 12:19:00",13,TRUE,2
"oz","1998-02-25 07:12:00",18,TRUE,3
"acepack","1998-03-25 21:53:00",14,TRUE,4
"polymars","1998-04-06 13:41:00",4,TRUE,5
"mda","1998-04-17 15:23:00",44,TRUE,6
"splines","1998-07-01 13:59:00",3,TRUE,7
"akima","1998-08-20 10:54:00",23,TRUE,8
"tripack","1998-08-20 10:56:00",24,TRUE,9
"ppr","1998-08-31 14:25:00",1,TRUE,10
"funfits","1998-10-20 12:20:00",1,TRUE,11
"pspline","1998-11-25 11:45:00",16,TRUE,12
"logspline","1998-11-25 11:46:00",27,TRUE,13
"stable","1998-12-09 09:08:00",6,TRUE,14
"timeslab","1999-01-01 06:20:00",1,TRUE,15
"pls","1999-01-11 14:48:00",21,TRUE,16
"quantreg","1999-01-11 14:48:00",63,TRUE,17
"mlbench","1999-02-24 17:11:00",25,TRUE,18
"lmtest","1999-03-15 09:34:00",44,TRUE,19
"RmSQL","1999-03-29 13:09:00",9,TRUE,20
"Rnotes","1999-04-02 10:02:00",2,TRUE,21
"KernSmooth","1999-04-08 11:02:00",38,TRUE,22
"VR","1999-04-08 11:03:00",92,TRUE,23
"boot","1999-04-08 11:03:00",70,TRUE,24
"gee","1999-04-08 11:06:00",19,TRUE,25
"rpart","1999-04-08 11:06:00",78,TRUE,26
"sm","1999-04-08 11:07:00",27,TRUE,27
"tree","1999-04-08 11:08:00",42,TRUE,28
"rmutil","1999-04-09 08:53:00",8,TRUE,29
"chron","1999-04-10 17:47:00",92,TRUE,30
"ctest","1999-04-10 17:48:00",6,TRUE,31
"locfit","1999-04-10 17:48:00",24,TRUE,32
"xgobi","1999-04-10 17:48:00",24,TRUE,33
"cluster","1999-04-12 05:53:00",82,TRUE,34
"polynom","1999-04-12 05:54:00",28,TRUE,35
"ash","1999-04-21 16:28:00",13,TRUE,36
"sgeostat","1999-04-21 16:28:00",21,TRUE,37
"event","1999-04-21 16:32:00",4,TRUE,38
"gnlm","1999-04-21 16:32:00",4,TRUE,39
"growth","1999-04-21 16:33:00",4,TRUE,40
"repeated","1999-04-21 16:33:00",5,TRUE,41
"cclust","1999-04-26 16:17:00",19,TRUE,42
"princurve","1999-04-26 16:32:00",23,TRUE,43
"date","1999-05-03 05:55:00",37,TRUE,44
"survival5","1999-05-11 05:57:00",10,TRUE,45
"bindata","1999-05-19 14:46:00",15,TRUE,46
"fracdiff","1999-05-19 15:11:00",18,TRUE,47
"quadprog","1999-05-27 09:49:00",20,TRUE,48
"coda","1999-06-04 07:54:00",55,TRUE,49
"e1071","1999-06-07 09:52:00",65,TRUE,50
"lme","1999-06-07 17:53:00",3,TRUE,51
"nls","1999-06-08 05:06:00",3,TRUE,52
"multiv","1999-06-08 08:23:00",6,TRUE,53
"bats","1999-06-09 17:00:00",3,TRUE,54
"integrate","1999-06-10 05:29:00",4,TRUE,55
"tcltk","1999-06-29 08:43:00",1,TRUE,56
"vtcl","1999-06-29 08:58:00",1,TRUE,57
"gss","1999-07-06 16:35:00",64,TRUE,58
"tseries","1999-07-09 07:27:00",98,TRUE,59
"rmeta","1999-08-11 12:34:00",18,TRUE,60
"multilm","1999-09-24 16:12:00",3,TRUE,61
"wavethresh","1999-10-11 06:37:00",18,TRUE,62
"NISTnls","1999-11-04 16:32:00",8,TRUE,63
"mclust","1999-11-04 16:32:00",76,TRUE,64
"survival4","1999-11-04 16:33:00",1,TRUE,65
"norm","1999-11-05 08:50:00",12,TRUE,66
"nlme","1999-11-23 09:22:00",136,TRUE,67
"stataread","1999-11-23 16:44:00",8,TRUE,68
"HTML","1999-12-13 19:05:00",1,TRUE,69
"foreign","1999-12-17 07:05:00",115,TRUE,70
"RPgSQL","2000-01-09 14:59:00",9,TRUE,71
"Devore5","2000-02-02 07:04:00",12,TRUE,72
"hdf5","2000-02-03 19:25:00",16,TRUE,73
"RMySQL","2000-02-04 22:07:00",46,TRUE,74
"SASmixed","2000-02-12 15:44:00",20,TRUE,75
"fdim","2000-03-23 18:00:00",8,TRUE,76
"cxx","2000-04-02 14:37:00",3,TRUE,77
"dse","2000-04-21 12:28:00",43,TRUE,78
"syskern","2000-04-21 12:28:00",2,TRUE,79
"tframe","2000-04-21 12:28:00",19,TRUE,80
"GenKern","2000-05-08 17:25:00",9,TRUE,81
"cfa","2000-05-13 11:54:00",18,TRUE,82
"hpower","2000-05-13 11:54:00",1,TRUE,83
"ineq","2000-05-13 11:54:00",16,TRUE,84
"RODBC","2000-05-24 07:32:00",42,TRUE,85
"wle","2000-05-31 16:04:00",24,TRUE,86
"maptree","2000-06-13 07:51:00",14,TRUE,87
"exactDistr","2000-06-19 08:30:00",6,TRUE,88
"Matrix","2000-07-15 00:57:00",198,TRUE,89
"netCDF","2000-07-26 06:45:00",5,TRUE,90
"Java","2000-07-27 05:53:00",3,TRUE,91
"Rstreams","2000-07-31 08:11:00",7,TRUE,92
"gafit","2000-08-17 13:20:00",5,TRUE,93
"ellipse","2000-08-19 20:50:00",18,TRUE,94
"PHYLOGR","2000-08-31 10:21:00",14,TRUE,95
"conf.design","2000-09-08 11:10:00",7,TRUE,96
"tensor","2000-09-14 08:51:00",5,TRUE,97
"sn","2000-09-24 22:23:00",47,TRUE,98
"dseplus","2000-09-28 15:01:00",21,TRUE,99
"mgcv","2000-10-04 15:09:00",155,TRUE,100
"gld","2000-11-02 06:37:00",35,TRUE,101
"splancs","2000-11-05 07:56:00",34,TRUE,102
"mvtnorm","2000-11-14 16:40:00",79,TRUE,103
"XML","2000-11-15 08:54:00",121,TRUE,104
"npConfRatio","2000-11-16 17:08:00",2,TRUE,105
"scatterplot3d","2000-11-16 17:50:00",36,TRUE,106
"StatDataML","2000-11-22 19:32:00",29,TRUE,107
"GRASS","2000-11-23 08:59:00",34,TRUE,108
"regexp","2000-12-01 07:15:00",1,TRUE,109
"bootstrap","2000-12-06 09:09:00",20,TRUE,110
"xtable","2000-12-13 07:01:00",40,TRUE,111
"write.snns","2001-01-08 06:56:00",3,TRUE,112
"mvnmle","2001-01-11 20:39:00",9,TRUE,113
